,Long,Lat,Code,Campground,Type,City,State
,43.062,-96.459,OAKG,Oak Grove County Park,CP,Hawarden,IA
,42.256,-94.069,OAKP,Oak Park - Dayton,CP,Dayton,IA
,40.935,-91.619,OAKL,Oakland Mills Park,CP,Oakland Mills,IA
,43.481,-93.264,OCHE,Ochee Yahola,CP,Northwood,IA
,43.386,-95.535,OCHE,Ocheyedan Pits Rec Area,CP,Ocheyedan,IA
,42.308,-95.249,ODEB,Odebolt Memorial Walk RV Park,CP,Odebolt,IA
,42.648,-91.92,OELW,Oelwein City Park,CP,Oelwein,IA
,41.197,-95.448,OLDE,Olde Towne Co Park,CP,Macedonia,IA
,42.008,-95.789,OLDH,Oldham Rec Area,CP,Soldier,IA
,43.125,-95.122,ONEO,Oneota Little Sioux Access,CP,Spencer,IA
,43.276,-92.854,OSAG,Osage Spring City Park,CP,Osage,IA
,42.793,-91.444,OSBO,Osborne Conservation Center,CP,Dyersville,IA
,43.459,-92.98,OTRA,Otranto Co Park,CP,Otranto,IA
,41.246,-93.532,OTTE,Otter Creek Co Park,CP,Indianola,IA
,42.052,-92.52,OTTE,Otter Creek Lake and Park,CP,Toldedo,IA
,41.01,-92.43,OTTU,Ottumwa City Park,CP,Ottumwa,IA
,41.909,-91.508,PALI,Palisades Kepler State Park,SP,Mt.Vernon,IA
,41.292,-94.076,PAMM,Pammel County Park,CP,Winterset,IA
,41.52,-90.687,PART,Park Terrace - West Lake County Park,CP,Davenport,IA
,41.835,-94.11,PATT,Pattee Park,CP,Perry,IA
,42.2,-95.943,PETE,Peters Park - Rodney Pits Rec Area,CP,Rodney,IA
,42.209,-91.106,PICT,Pictured Rocks Co Park,CP,Monticello,IA
,40.843,-95.355,PIER,Pierce Creek Rec Area,CP,Essex,IA
,42.993,-91.165,PIKE,Pikes Peak State Park,SP,McGregor,IA
,42.783,-93.647,PIKE,Pikes Timber,CP,Clarion,IA
,41.146,-95.043,PILO,Pilot Grove Co Park,CP,Grant,IA
,43.254,-93.561,PILO,Pilot Knob State Park,SP,Forest City,IA
,42.454,-91.435,PIN,Pin Oak Co Park,CP,Manchester,IA
,41.715,-90.529,PING,Pine Grove - Scott County Park,CP,Long Grove,IA
,42.371,-93.078,PINE,Pine Lake State Park,SP,Eldora,IA
,42.413,-93.07,PINR,Pine Ridge - Steamboat Rock,CP,Steamboat Rock,IA
,40.744,-95.222,PION,Pioneer City Park,CP,Shenandoah,IA
,43.341,-92.68,PION,Pioneer Co Park,CP,Osage,IA
,41.833,-95.93,PISG,Pisgah City Park,CP,Pisgah,IA
,42.21,-90.38,PLEA,Pleasant Creek,COE,Dubuque,IA
,42.119,-91.814,PLEA,Pleasant Creek State Rec Area,SRA,Palo,IA
,40.711,-94.198,POE,Poe Hollow County Park,CP,Mount Ayr,IA
,40.714,-91.436,POLL,Pollmiller Park,CP,West Point,IA
,41.071,-95.788,PONY,Pony Creek Co Park,CP,Pacific Juncti,IA
,42.585,-93.434,POPE,Popejoy Conservation Park,CP,Popejoy,IA
,41.471,-95.338,POTT,Pottawattamie County Fairgrounds,CP,Avoca,IA
,42.56,-93.057,PRAI,Prairie Bridges Park,CP,Ackley,IA
,41.749,-93.688,PRAF,Prairie Flower - Saylorville Lake,COE,Des Moines,IA
,40.858,-92.888,PRAR,Prairie Ridge - Rathbun Lake,COE,Moravia,IA
,41.6,-95.212,PRAI,Prairie Rose State Park,SP,Harlan,IA
,43.084,-95.623,PRIM,Primghar City Park,CP,Primghar,IA
,43.299,-91.809,PULP,Pulpit Rock City Campground,CP,Decorah,IA
,41.198,-92.668,QUER,Quercus Wilderness Area,CP,Oskaloosa,IA
,42.228,-94.756,RAIN,Rainbow Bend Co Park,CP,Lake City,IA
